head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0
0.0,-0.06941,-1.8055,0.48435,-1.1758,0.08399,-3.04994,-0.15953,-2.97362,1.84845,0.6761,-0.7064,-0.27036,0.31293,0.49126,3.0369,-12.56599
0.0,-0.06941,-1.78364,0.37429,-1.47876,0.05906,-3.04994,-0.01381,-3.05991,1.84845,0.67802,-0.70717,-0.2696,0.31293,0.48819,3.03651,-12.56599
0.0,-0.0698,-1.78402,0.17717,-1.02777,0.04218,-3.04994,-0.20709,-3.06029,1.84768,0.67725,-0.70717,-0.26921,0.31293,0.49049,3.03575,-12.56599
0.0,-0.06941,-1.78555,0.08552,-0.2393,-0.00729,-3.0507,-0.12847,-3.05684,1.84883,0.67572,-0.70755,-0.26921,0.31293,0.49049,3.03536,-12.56599
0.0,-0.0698,-1.77443,0.56872,0.6761,-0.06251,-3.0507,-0.00153,-3.05952,1.84845,0.67534,-0.70755,-0.2696,0.31332,0.49126,3.03613,-12.56599
0.0,-0.0698,-1.7729,0.56834,0.67534,-0.06251,-3.05032,-0.00192,-3.05876,1.49103,0.66383,0.52079,-0.30066,-0.05944,-0.45598,2.96058,-12.56599
0.0,-0.06903,-1.77175,0.56834,0.67495,-0.06328,-3.05032,-0.00115,-3.05837,1.50484,0.31792,1.24598,-0.19712,-0.02991,-0.13921,2.90383,-12.56599
0.0,-0.06941,-1.77175,0.56911,0.67534,-0.06289,-3.05032,-0.00153,-3.05914,1.55967,0.40574,1.5033,-0.11006,-0.07095,-0.02186,2.94102,-12.56599
0.0,-0.06941,-1.77328,0.56872,0.67534,-0.06289,-3.05032,-0.00077,-3.05952,1.52631,0.22473,1.36064,0.43258,-0.11812,-0.14304,2.50806,-12.56599
0.0,-0.0698,-1.71883,0.47323,0.56412,0.53344,-3.00699,-0.02186,-2.93029,1.52631,0.22665,1.36141,0.43067,-0.11812,-0.14189,2.50959,-12.56599
0.0,-0.0698,-1.71959,0.474,0.56412,0.53766,-3.0043,-0.02224,-2.93029,1.49601,0.47668,0.82567,0.55185,-0.14534,-0.25349,2.4977,-12.56599
0.0,-0.06941,-1.71729,0.47362,0.56412,0.53728,-3.00468,-0.02109,-2.92952,1.38672,0.57678,0.33249,0.48627,-0.26921,0.16068,2.91955,-12.56599
0.0,-0.0698,-1.71767,0.47477,0.56374,0.53689,-3.0043,-0.02263,-2.93029,1.3476,0.32444,-0.29721,0.49663,-0.39807,0.02109,3.02463,-12.56599
0.0,-0.06941,-1.71806,0.47362,0.56489,0.53728,-3.00468,-0.02186,-2.93067,1.31079,0.58636,-1.08261,0.96679,-1.19804,0.13461,3.03191,-12.56599
0.0,-0.06941,-1.71806,0.47285,0.56412,0.53689,-3.00507,-0.02263,-2.92952,1.45306,0.1952,-1.69505,0.67917,-1.80665,0.15608,3.03651,-12.56599
0.0,-0.06941,-1.40628,0.34515,1.7031,0.61628,-3.05032,0.07632,-3.00545,1.45421,0.19597,-1.69505,0.67764,-1.80473,0.15608,3.03613,-12.56599
0.0,-0.0698,-1.57425,0.5622,1.68278,-0.06596,-3.03536,-0.0721,-2.99356,1.45345,0.19635,-1.69351,0.6784,-1.8055,0.15647,3.03651,-12.56599
0.0,-0.06941,-1.57425,0.56182,1.68278,-0.06711,-3.03498,-0.07133,-2.9928,1.80396,1.11789,-1.2617,0.18868,-0.92231,1.04464,3.03498,-12.56599
0.0,-0.0698,-1.75794,0.2439,0.72059,-0.54571,-2.95023,-0.07171,-2.68907,1.80128,1.11712,-1.26285,0.18791,-0.92269,1.04387,3.0346,-12.56599
0.0,-0.06903,-1.75679,0.2462,0.72059,-0.54686,-2.94869,-0.07133,-2.68792,2.45322,1.31385,-1.03697,0.01726,-0.30104,0.66767,3.0323,-12.56599
0.0,-0.06941,-1.75679,0.24275,0.72174,-0.54686,-2.94908,-0.07095,-2.6883,1.94662,0.87705,-0.26845,-0.3137,-1.00898,0.107,2.96135,-12.56599
0.0,-0.06941,-1.75794,0.24544,0.72059,-0.54648,-2.94908,-0.07056,-2.68792,1.96119,0.20402,0.81608,-0.34591,-1.44769,0.05024,2.81639,-12.56599
0.0,-0.06941,-1.82966,-0.05024,0.10508,0.16145,-3.0507,-1.09871,-3.05607,1.96119,0.20325,0.81493,-0.35243,-1.44463,0.04525,2.81716,-12.56599
0.0,-0.06941,-1.5685,0.69259,-0.38388,0.6669,-3.03805,-0.59672,-3.05837,1.96234,0.20325,0.81531,-0.3532,-1.44539,0.04564,2.81716,-12.56599
0.0,-0.0698,-1.8055,0.99057,-1.13208,0.78271,-2.89309,-0.29107,-2.78341,1.96119,0.20325,0.81493,-0.35205,-1.44463,0.04487,2.81677,-12.56599
0.0,-0.0698,-1.80588,0.99172,-1.13169,0.7808,-2.89385,-0.29146,-2.78418,1.88718,0.92537,1.19881,-0.21667,-1.29468,0.22319,3.03767,-12.56599
0.0,-0.0698,-1.8055,0.9898,-1.13246,0.78233,-2.89385,-0.29107,-2.78379,1.84116,0.83257,0.37199,-0.209,-1.54357,0.07286,3.02731,-12.56599
0.0,-0.0698,-1.92016,0.80342,-0.53843,0.4345,-2.6488,-0.71944,-3.05952,1.84231,0.83218,0.37199,-0.20862,-1.54395,0.06865,3.02731,-12.56599
0.0,-0.06941,-1.92246,0.80266,-0.53766,0.43297,-2.64918,-0.72097,-3.05799,1.7403,1.14703,-0.20632,-0.05139,-1.75794,-0.10508,3.02386,-12.56599
0.0,-0.06903,-1.92246,0.80304,-0.53766,0.43297,-2.64918,-0.71982,-3.05876,1.48796,1.34799,-0.79882,0.21974,-2.42254,-0.09012,3.03805,-12.56599
0.0,-0.06941,-2.01718,0.96602,-0.65271,0.43718,-2.44095,-0.46326,-3.06106,1.48489,1.34799,-0.79959,0.22051,-2.42254,-0.09012,3.03805,-12.56599
0.0,-0.06941,-2.03636,0.97178,-0.60746,0.4253,-2.44478,-0.46901,-3.05914,1.44424,0.64696,0.08207,0.09933,-3.04725,-0.97331,3.01466,-12.56599
0.0,-0.06941,-2.02907,0.95989,-0.59979,0.4345,-2.4421,-0.46863,-3.05876,1.63791,1.18768,0.13883,-0.11697,-2.70863,-0.81493,3.03728,-12.56599
0.0,-0.06941,-2.07778,1.13515,-0.70295,0.08974,-2.75963,-0.26615,-3.05876,1.24291,1.29967,0.2255,-0.0115,-3.04649,-0.51657,3.03805,-12.56599
0.0,-0.06865,-2.22542,1.27397,0.02339,0.27075,-3.01581,-1.29276,-3.05684,1.24252,1.29967,0.22703,-0.01227,-3.04725,-0.51657,3.03728,-12.56599
0.0,-0.06903,-2.22274,1.27435,0.02339,0.26921,-3.01581,-1.292,-3.05799,1.16122,0.97254,-0.237,-0.02186,-3.04764,-0.76891,3.03728,-12.56599
0.0,-0.06941,-2.22312,1.27474,0.02339,0.26845,-3.01696,-1.292,-3.05722,1.76408,0.55875,-0.23738,-0.14458,-2.79491,-0.72711,3.03805,-12.56599
0.0,-0.0698,-2.22351,1.27435,0.02339,0.2696,-3.01619,-1.29276,-3.05684,1.83579,0.92844,-0.5112,-0.3973,-2.66836,-0.55223,3.02654,-12.56599
0.0,-0.06941,-2.22427,1.27474,0.02263,0.26921,-3.01619,-1.29238,-3.05722,1.94892,0.85826,-0.84292,-0.58751,-2.44977,-0.72212,3.03728,-12.56599
0.0,-0.06903,-2.22389,1.27474,0.02301,0.26921,-3.01619,-1.29276,-3.05761,1.89868,1.54127,-0.45329,-0.35972,-3.04725,-0.2857,2.73854,-12.56599
0.0,-0.0698,-1.70885,1.2732,0.25848,0.46978,-2.42062,-0.85098,-3.05876,1.90099,1.5405,-0.45444,-0.3601,-3.04802,-0.28417,2.73816,-12.56599
0.0,-0.06941,-1.5474,0.79882,0.59557,1.04694,-1.71422,-0.49854,-3.04112,1.8983,1.54127,-0.45444,-0.36049,-3.04764,-0.28532,2.73892,-12.56599
0.0,-0.06941,-1.54894,0.79997,0.59403,1.04733,-1.71346,-0.49969,-3.04112,1.2709,1.29967,-0.90773,0.31562,-3.04725,-0.53383,2.79031,-12.56599
0.0,-0.06941,-1.54817,0.80035,0.59442,1.04694,-1.71346,-0.50046,-3.04073,0.51849,1.37636,-1.11635,0.20095,-2.92684,0.11927,3.0369,-12.56599
